        size,          ops,         time,      op/time
        1024,    156250000,     0.104968,  1.48855e+09
        2048,    156249984,     0.093940,   1.6633e+09
        3072,    156249984,     0.091793,   1.7022e+09
        4096,    156249984,     0.094872,  1.64696e+09
        5120,    156250000,     0.103586,  1.50841e+09
        6144,    156249984,     0.100517,  1.55446e+09
        7168,    156249968,     0.100289,    1.558e+09
        8192,    156249984,     0.098657,  1.58377e+09
        9216,    156249936,     0.098890,  1.58004e+09
       10240,    156249920,     0.096273,  1.62299e+09
       11264,    156249984,     0.095210,  1.64111e+09
       12288,    156249984,     0.101960,  1.53246e+09
       13312,    156249808,     0.094857,  1.64721e+09
       14336,    156249856,     0.094334,  1.65635e+09
       15360,    156249840,     0.093748,   1.6667e+09
       16384,    156249856,     0.093448,  1.67205e+09
       17408,    156249856,     0.096030,  1.62709e+09
       18432,    156249792,     0.093290,  1.67488e+09
       19456,    156249920,     0.093731,    1.667e+09
       20480,    156249920,     0.093095,  1.67839e+09
       21504,    156249744,     0.092176,  1.69512e+09
       22528,    156249984,     0.100061,  1.56155e+09
       23552,    156249856,     0.092558,  1.68813e+09
       24576,    156249984,     0.093618,  1.66902e+09
       25600,    156250000,     0.097141,  1.60849e+09
       26624,    156249600,     0.092831,  1.68316e+09
       27648,    156249648,     0.095342,  1.63883e+09
       28672,    156249856,     0.092448,  1.69014e+09
       29696,    156249680,     0.091302,  1.71135e+09
       30720,    156249600,     0.091757,  1.70286e+09
       31744,    156249920,     0.097766,   1.5982e+09
       32768,    156249600,     0.096718,  1.61552e+09
       33792,    156249984,     0.092403,  1.69096e+09
       34816,    156249856,     0.114200,  1.36821e+09
       35840,    156249520,     0.137966,  1.13252e+09
       36864,    156249792,     0.163477,  9.55791e+08
       37888,    156249520,     0.165275,  9.45391e+08
       38912,    156249920,     0.158491,   9.8586e+08
       39936,    156249600,     0.160417,  9.74021e+08
       40960,    156249600,     0.158557,  9.85447e+08
       41984,    156249360,     0.160483,  9.73619e+08
       43008,    156249408,     0.159123,  9.81941e+08
       44032,    156249616,     0.160371,  9.74301e+08
       45056,    156249984,     0.169830,  9.20038e+08
       46080,    156249360,     0.163616,  9.54976e+08
       47104,    156249856,     0.164481,  9.49957e+08
       48128,    156249808,     0.161076,  9.70038e+08
       49152,    156249600,     0.162014,   9.6442e+08
       50176,    156249632,     0.165230,  9.45649e+08
       51200,    156249600,     0.157146,  9.94296e+08
       52224,    156249312,     0.160508,  9.73467e+08
       53248,    156249600,     0.191116,  8.17564e+08
       54272,    156249936,     0.159955,  9.76837e+08
       55296,    156249216,     0.176338,  8.86078e+08
       56320,    156249280,     0.164303,  9.50982e+08
       57344,    156249856,     0.157543,  9.91792e+08
       58368,    156249312,     0.158623,  9.85036e+08
       59392,    156249216,     0.162860,  9.59408e+08
       60416,    156249936,     0.159555,  9.79286e+08
       61440,    156249600,     0.162508,  9.61489e+08
       62464,    156249792,     0.163840,  9.53673e+08
       63488,    156249920,     0.164040,  9.52511e+08
       64512,    156249072,     0.160784,  9.71795e+08
       65536,    156249088,     0.171029,  9.13582e+08
       66560,    156249600,     0.163064,   9.5821e+08
       67584,    156249984,     0.163839,   9.5368e+08
       68608,    156249360,     0.162822,  9.59633e+08
       69632,    156249856,     0.158600,  9.85182e+08
       70656,    156249120,     0.167616,  9.32185e+08
       71680,    156248960,     0.161484,  9.67582e+08
       72704,    156249984,     0.158205,  9.87642e+08
       73728,    156249216,     0.190768,  8.19054e+08
       74752,    156249200,     0.161718,  9.66183e+08
       75776,    156248928,     0.164646,  9.48999e+08
       76800,    156249600,     0.158793,  9.83983e+08
       77824,    156249920,     0.166210,  9.40075e+08
       78848,    156249632,     0.162354,  9.62401e+08
       79872,    156249600,     0.165669,  9.43143e+08
       80896,    156249360,     0.159620,  9.78883e+08
