        size,          ops,         time,      time/op
           2,      5120000,     0.009072,  1.77187e-09
           4,      5120000,     0.005152,  1.00625e-09
           6,      5120040,     0.005459,   1.0662e-09
           8,      5120000,     0.004543,  8.87305e-10
          10,      5120000,     0.003267,  6.38086e-10
          12,      5120040,     0.004488,  8.76556e-10
          14,      5120080,     0.003251,  6.34951e-10
          16,      5120000,     0.003287,  6.41992e-10
          18,      5120100,     0.004605,  8.99397e-10
          20,      5120000,     0.003244,  6.33594e-10
          22,      5120060,     0.003555,  6.94328e-10
          24,      5120160,     0.003801,   7.4236e-10
          26,      5120180,     0.004807,  9.38834e-10
          28,      5120080,     0.004004,  7.82019e-10
          30,      5120100,     0.004269,  8.33773e-10
          32,      5120000,     0.005243,  1.02402e-09
          34,      5120060,     0.004628,  9.03896e-10
          36,      5120280,     0.004935,  9.63814e-10
          38,      5120120,     0.005471,  1.06853e-09
          40,      5120000,     0.005391,  1.05293e-09
          42,      5120220,     0.005592,  1.09214e-09
          44,      5120280,     0.005695,  1.11224e-09
          46,      5120260,     0.005964,  1.16478e-09
          48,      5120160,     0.006248,  1.22027e-09
          50,      5120000,     0.006483,  1.26621e-09
          52,      5120440,     0.006803,   1.3286e-09
          54,      5120280,     0.007046,   1.3761e-09
          56,      5120080,     0.007310,  1.42771e-09
          58,      5120240,     0.007506,  1.46595e-09
          60,      5120400,     0.007894,  1.54168e-09
          62,      5120580,     0.008188,  1.59904e-09
          64,      5120000,     0.008146,  1.59102e-09
          66,      5120280,     0.008108,  1.58351e-09
          68,      5120400,     0.008320,  1.62487e-09
          70,      5120500,     0.008265,   1.6141e-09
          72,      5120640,     0.008385,  1.63749e-09
          74,      5120060,     0.008460,  1.65232e-09
          76,      5120120,     0.008563,  1.67242e-09
          78,      5120700,     0.008574,  1.67438e-09
          80,      5120000,     0.008534,   1.6668e-09
          82,      5120080,     0.008972,  1.75232e-09
          84,      5120640,     0.008893,   1.7367e-09
          86,      5120440,     0.009115,  1.78012e-09
          88,      5120720,     0.008755,  1.70972e-09
          90,      5120100,     0.008810,  1.72067e-09
          92,      5120720,     0.009079,  1.77299e-09
          94,      5120180,     0.008876,  1.73353e-09
          96,      5120640,     0.008872,   1.7326e-09
          98,      5120500,     0.008849,  1.72815e-09
         100,      5120000,     0.008636,  1.68672e-09
         102,      5120400,     0.008962,  1.75025e-09
         104,      5120960,     0.008826,   1.7235e-09
         106,      5120860,     0.008846,  1.72744e-09
         108,      5120280,     0.008635,  1.68643e-09
         110,      5120500,     0.009094,    1.776e-09
         112,      5120640,     0.008739,  1.70662e-09
         114,      5120880,     0.008634,  1.68604e-09
         116,      5120240,     0.008628,  1.68508e-09
         118,      5120020,     0.008761,  1.71113e-09
         120,      5120400,     0.008930,    1.744e-09
         122,      5120340,     0.008871,   1.7325e-09
         124,      5121200,     0.009061,  1.76931e-09
         126,      5120640,     0.009811,  1.91597e-09
         128,      5120000,     0.014287,  2.79043e-09
         130,      5120700,     0.009687,  1.89173e-09
         132,      5120280,     0.008885,  1.73526e-09
         134,      5120140,     0.008549,  1.66968e-09
         136,      5120400,     0.008541,  1.66803e-09
         138,      5121180,     0.008513,  1.66231e-09
         140,      5121200,     0.008820,  1.72225e-09
         142,      5120520,     0.008584,  1.67639e-09
         144,      5120640,     0.008522,  1.66425e-09
         146,      5120220,     0.009593,  1.87355e-09
         148,      5120800,     0.008408,  1.64193e-09
         150,      5121000,     0.009693,  1.89279e-09
         152,      5120880,     0.008578,   1.6751e-09
         154,      5120500,     0.008682,  1.69554e-09
         156,      5121480,     0.008347,   1.6298e-09
         158,      5120780,     0.013574,  2.65077e-09
         160,      5120000,     0.008179,  1.59746e-09
         162,      5120820,     0.008111,  1.58393e-09
         164,      5120080,     0.008103,  1.58259e-09
         166,      5121100,     0.008345,  1.62953e-09
         168,      5120640,     0.008088,  1.57949e-09
         170,      5120400,     0.008365,  1.63366e-09
         172,      5120440,     0.008110,  1.58385e-09
         174,      5120820,     0.008024,  1.56694e-09
         176,      5121600,     0.008928,  1.74321e-09
         178,      5121060,     0.007985,  1.55925e-09
         180,      5121000,     0.008131,  1.58778e-09
         182,      5121480,     0.007853,  1.53335e-09
         184,      5120720,     0.011921,  2.32799e-09
         186,      5120580,     0.008065,  1.57502e-09
         188,      5121120,     0.009231,  1.80254e-09
         190,      5120500,     0.007803,  1.52387e-09
         192,      5120640,     0.007582,  1.48067e-09
         194,      5121600,     0.008419,  1.64382e-09
         196,      5121480,     0.008121,  1.58567e-09
         198,      5120280,     0.007291,  1.42395e-09
         200,      5120000,     0.007715,  1.50684e-09
         202,      5120700,     0.007553,  1.47499e-09
         204,      5120400,     0.007721,  1.50789e-09
         206,      5121160,     0.007534,  1.47115e-09
         208,      5120960,     0.007090,  1.38451e-09
         210,      5121900,     0.007561,  1.47621e-09
         212,      5121920,     0.006771,  1.32197e-09
         214,      5121020,     0.012393,  2.42003e-09
         216,      5121360,     0.007739,  1.51112e-09
         218,      5120820,     0.007198,  1.40563e-09
         220,      5121600,     0.006951,  1.35719e-09
         222,      5121540,     0.006361,  1.24201e-09
         224,      5120640,     0.006307,  1.23168e-09
         226,      5121160,     0.006406,  1.25089e-09
         228,      5120880,     0.007903,  1.54329e-09
         230,      5122100,     0.006297,  1.22938e-09
         232,      5120240,     0.007572,  1.47884e-09
         234,      5122260,     0.006430,  1.25531e-09
         236,      5121200,     0.006001,   1.1718e-09
         238,      5121760,     0.008510,  1.66154e-09
         240,      5121600,     0.008962,  1.74984e-09
         242,      5120720,     0.007170,  1.40019e-09
         244,      5121560,     0.007651,  1.49388e-09
         246,      5121720,     0.006663,  1.30093e-09
         248,      5121200,     0.006829,  1.33348e-09
         250,      5120000,     0.006211,  1.21309e-09
         252,      5120640,     0.006893,  1.34612e-09
         254,      5120640,     0.007471,    1.459e-09
         256,      5120000,     0.015703,  3.06699e-09
